X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Y,,
0908152080,7819,Pave,AllPub,Edwards,1Fam,1976,CBlock,1029,GasA,Y,1117,1,0,1,0,3,6,1,672,Y,0,NA,Abnorml,107000,,
0905401020,12671,Pave,AllPub,ClearCr,1Fam,1954,CBlock,1288,GasA,Y,2422,0,0,3,0,4,6,2,527,Y,0,NA,Normal,255000,,
0528218080,10237,Pave,AllPub,Gilbert,1Fam,2006,PConc,738,GasA,Y,1492,0,0,2,1,3,8,0,440,Y,0,NA,Partial,169985,,
0906385010,10402,Pave,AllPub,CollgCr,1Fam,2009,PConc,1226,GasA,Y,1226,0,0,2,0,3,6,0,740,Y,0,NA,Normal,198900,,
0533213120,2280,Pave,AllPub,Somerst,Twnhs,1999,PConc,744,GasA,Y,1549,1,0,2,1,3,6,0,440,Y,0,NA,Normal,172900,,
0923230040,9297,Pave,AllPub,Mitchel,Duplex,1976,CBlock,1728,GasA,Y,1728,2,0,2,0,4,8,0,560,Y,0,NA,Family,188000,,
0531385130,16196,Pave,AllPub,SawyerW,1Fam,1998,PConc,1482,GasA,Y,1494,1,0,2,0,3,5,1,514,Y,0,NA,Normal,215000,,
0921128020,13214,Pave,AllPub,Timber,1Fam,2008,PConc,2002,GasA,Y,2018,0,0,2,0,3,10,1,746,Y,0,NA,Normal,378500,,
0535179050,14850,Pave,AllPub,NAmes,1Fam,1957,CBlock,1092,GasA,Y,1092,1,0,1,0,2,6,1,299,Y,0,NA,Normal,141000,,
0904301410,8250,Pave,AllPub,Edwards,1Fam,1935,Slab,0,GasA,N,1032,0,0,1,0,2,6,1,260,Y,0,NA,Normal,125000,,
0528186050,7841,Pave,AllPub,NridgHt,TwnhsE,2005,PConc,1577,GasA,Y,1577,1,0,2,0,2,6,1,564,Y,0,NA,Normal,280000,,
0903226060,6000,Pave,AllPub,BrkSide,1Fam,1940,CBlock,981,GasA,Y,1672,0,0,1,1,3,6,1,240,Y,0,NA,Normal,164900,,
0534175010,11500,Pave,AllPub,NWAmes,Duplex,1976,CBlock,1680,GasA,Y,1680,0,0,2,0,4,8,0,528,Y,0,NA,Normal,136905,,
0527216070,53504,Pave,AllPub,StoneBr,1Fam,2003,PConc,1650,GasA,Y,3279,1,0,3,1,4,12,1,841,Y,0,NA,Normal,538000,,
0905200220,11616,Pave,AllPub,Sawyer,1Fam,1962,CBlock,1092,GasA,Y,1092,0,1,1,0,3,6,1,288,Y,0,NA,Normal,139000,,
0909101080,8248,Pave,AllPub,Edwards,1Fam,1922,BrkTil,864,GasA,N,1414,0,0,1,0,3,8,1,0,N,0,NA,Abnorml,83000,,
0528235020,9024,Pave,AllPub,Gilbert,1Fam,2004,PConc,789,GasA,Y,1515,0,0,2,1,3,8,1,393,Y,0,NA,Normal,179000,,
0902105010,4800,Pave,AllPub,OldTown,1Fam,1910,BrkTil,680,GasA,N,1360,0,0,1,0,2,6,0,330,Y,0,NA,Normal,111000,,
0902109080,11426,Pave,AllPub,OldTown,2fmCon,1910,Stone,828,GasA,Y,1594,0,0,2,0,3,9,0,0,N,0,NA,Normal,118000,,
0905101300,10773,Pave,AllPub,Sawyer,Duplex,1967,CBlock,1832,GasA,N,1832,2,0,2,0,4,8,0,0,Y,0,NA,Normal,136000,,
0527453130,2280,Pave,AllPub,NPkVill,Twnhs,1975,CBlock,855,GasA,Y,1456,0,0,2,1,3,6,1,440,Y,0,NA,Normal,149900,,
0534225120,13101,Pave,AllPub,NAmes,Duplex,1965,CBlock,1728,GasA,Y,1728,0,0,2,0,6,10,0,576,Y,0,NA,Normal,142600,,
0531385020,8529,Pave,AllPub,SawyerW,1Fam,2001,PConc,1454,GasA,Y,1434,0,0,2,0,3,6,1,527,Y,0,NA,Normal,189000,,
0905478190,11100,Pave,AllPub,Edwards,1Fam,1946,CBlock,0,GasA,Y,930,0,0,1,0,2,6,0,308,Y,0,NA,Abnorml,84900,,
0535402090,10143,Pave,AllPub,NAmes,1Fam,1963,CBlock,1380,GasA,Y,1380,0,0,1,1,3,6,0,364,Y,0,NA,Normal,154000,,
0535327200,13300,Pave,AllPub,NAmes,1Fam,1956,CBlock,928,GasA,Y,928,0,0,1,0,2,4,0,252,Y,0,NA,Normal,132000,,
0531382070,10994,Pave,AllPub,SawyerW,1Fam,2005,PConc,1844,GasA,Y,1844,1,0,2,0,2,7,1,620,Y,0,NA,Abnorml,257000,,
0534176250,9600,Pave,AllPub,NWAmes,1Fam,1969,CBlock,1164,GasA,Y,1164,0,0,1,1,3,6,0,528,Y,0,NA,Normal,140000,,
0527450010,2760,Pave,AllPub,BrDale,TwnhsE,1973,CBlock,525,GasA,Y,1092,0,0,1,1,3,6,0,440,Y,0,NA,Normal,105500,,
0535452140,7200,Pave,AllPub,NAmes,1Fam,1952,CBlock,732,GasA,Y,732,1,0,1,0,2,4,0,240,Y,0,NA,Normal,118900,,
0528144020,9541,Pave,AllPub,NridgHt,1Fam,2009,PConc,1502,GasA,Y,1502,0,0,2,0,3,7,0,644,Y,0,NA,Partial,233170,,
0531369020,10141,Pave,AllPub,SawyerW,1Fam,2004,PConc,1512,GasA,Y,1512,0,0,2,0,3,6,0,845,Y,0,NA,Normal,203000,,
0534453080,5175,Pave,AllPub,BrkSide,1Fam,1958,CBlock,808,GasA,Y,808,0,0,1,0,2,5,0,308,N,0,NA,Normal,112000,,
0527106010,13006,Pave,AllPub,Gilbert,1Fam,1997,PConc,964,GasA,Y,2236,0,0,2,1,4,8,1,642,Y,0,NA,Normal,222000,,
0533221100,2117,Pave,AllPub,Somerst,Twnhs,2000,PConc,756,GasA,Y,1525,0,0,2,1,3,5,1,440,Y,0,NA,Normal,177000,,
0907420080,8199,Pave,AllPub,CollgCr,1Fam,2005,PConc,728,GasA,Y,1456,1,0,2,1,3,7,1,410,Y,0,NA,Normal,189000,,
0902106130,4485,Pave,AllPub,OldTown,1Fam,1920,PConc,936,GasA,Y,936,1,0,1,0,2,5,1,0,P,0,NA,Normal,109500,,
0535477020,7700,Pave,AllPub,NAmes,1Fam,1966,CBlock,756,GasA,Y,1839,0,0,1,1,4,7,1,442,Y,0,NA,Normal,155000,,
0528427070,14598,Pave,AllPub,Somerst,1Fam,2007,PConc,894,GasA,Y,1933,0,0,2,1,4,9,1,668,Y,0,NA,Normal,214000,,
0916403290,13758,Pave,AllPub,Timber,1Fam,1990,CBlock,1156,GasA,Y,1717,0,0,2,1,3,7,1,400,Y,0,NA,Normal,187500,,
0534455030,9600,Pave,AllPub,NAmes,1Fam,1960,CBlock,1296,GasA,Y,1496,0,0,2,0,3,6,0,450,Y,0,NA,Normal,141500,,
0535354050,9600,Pave,AllPub,NAmes,1Fam,1949,CBlock,845,GasA,Y,893,0,1,1,0,2,4,0,576,Y,0,NA,Normal,135000,,
0916384150,10991,Pave,AllPub,Timber,1Fam,2007,PConc,1571,GasA,Y,1571,0,0,2,0,3,7,1,722,Y,0,NA,Partial,239000,,
0535425060,11355,Pave,AllPub,NAmes,1Fam,1958,CBlock,1312,GasA,Y,1312,0,0,1,1,3,6,1,495,Y,0,NA,Normal,186000,,
0923228150,1533,Pave,AllPub,MeadowV,Twnhs,1970,CBlock,546,GasA,Y,1344,0,0,1,1,3,6,1,0,Y,0,NA,Normal,97000,,
0903228090,5000,Pave,AllPub,BrkSide,1Fam,1926,BrkTil,992,GasA,Y,1013,0,0,1,0,3,6,0,160,Y,0,NA,Normal,113000,,
0907187060,12352,Pave,AllPub,CollgCr,1Fam,1998,PConc,853,GasA,Y,1753,1,0,2,1,3,7,1,534,Y,0,NA,Normal,217000,,
0911128180,7500,Pave,AllPub,IDOTRR,1Fam,1920,CBlock,698,GasA,Y,1128,0,0,1,0,2,6,0,528,Y,0,NA,Abnorml,68400,,
0527254070,11302,Pave,AllPub,StoneBr,1Fam,2005,PConc,1814,GasA,Y,1826,1,0,2,0,3,7,1,758,Y,0,NA,Partial,319000,,
0535104120,10573,Pave,AllPub,NAmes,1Fam,1961,CBlock,1453,GasA,Y,1453,1,0,2,0,3,6,1,530,Y,0,NA,Normal,187500,,
0903456060,9786,Pave,AllPub,IDOTRR,1Fam,1922,BrkTil,1007,GasA,N,1077,0,0,1,0,3,6,1,210,P,0,NA,Normal,91000,,
0528390210,29959,Pave,AllPub,NoRidge,1Fam,1994,PConc,973,GasA,Y,1850,0,0,2,1,3,7,1,467,Y,0,NA,Normal,248000,,
0924100040,9819,Pave,AllPub,Mitchel,1Fam,1977,PConc,1567,GasA,Y,1567,1,0,2,0,2,5,2,714,Y,0,NA,Normal,196000,,
0907201280,6950,Pave,AllPub,CollgCr,1Fam,1979,CBlock,914,GasA,Y,914,1,0,1,0,2,5,0,444,Y,0,NA,Normal,134900,,
0923276180,11625,Pave,AllPub,Mitchel,1Fam,1983,CBlock,816,GasA,Y,816,1,0,1,0,2,4,0,264,Y,0,NA,Normal,139000,,
0914476330,9928,Pave,AllPub,Mitchel,1Fam,1991,PConc,1454,GasA,Y,1478,1,0,2,0,3,6,1,506,Y,0,NA,Normal,210000,,
0905226170,13770,Pave,AllPub,Sawyer,1Fam,1958,CBlock,1158,GasA,Y,1176,1,0,1,0,3,6,2,303,Y,0,NA,Normal,137000,,
0528142150,12878,Pave,AllPub,NridgHt,1Fam,2003,PConc,1760,GasA,Y,1760,1,0,2,0,3,8,1,583,Y,0,NA,Normal,269500,,
0534275060,7436,Pave,AllPub,NAmes,1Fam,1960,CBlock,894,GasA,Y,894,1,0,1,0,2,5,1,396,Y,0,NA,Normal,141500,,
0528458130,9000,Pave,AllPub,Somerst,1Fam,2007,PConc,1184,GasA,Y,2610,0,0,2,1,4,11,1,550,Y,0,NA,Partial,303477,,
0908225320,8741,Pave,AllPub,Edwards,1Fam,1945,CBlock,735,GasA,Y,1487,0,0,1,1,3,7,1,220,Y,0,NA,Normal,113000,,
0528477040,9803,Pave,AllPub,Somerst,1Fam,2005,PConc,866,GasA,Y,1768,0,0,2,1,3,7,0,603,Y,0,NA,Normal,226700,,
0902206090,9576,Pave,AllPub,OldTown,1Fam,1945,CBlock,770,GasA,Y,1182,0,0,1,1,3,5,0,378,Y,0,NA,Normal,120000,,
0528142060,10672,Pave,AllPub,NridgHt,1Fam,2006,PConc,1054,GasA,Y,2389,0,0,2,1,4,10,1,672,Y,0,NA,Partial,298236,,
0908103280,6500,Pave,AllPub,Edwards,1Fam,1976,CBlock,1127,GasA,Y,1127,0,1,1,1,3,6,1,480,Y,0,NA,Normal,135000,,
0528477050,11003,Pave,AllPub,Somerst,1Fam,2008,PConc,1017,GasA,Y,2007,1,0,2,1,3,10,1,812,Y,0,NA,Normal,310000,,
0531451030,8012,Pave,AllPub,SawyerW,TwnhsE,1992,PConc,1575,GasA,Y,1575,1,0,2,0,2,5,0,529,Y,0,NA,Normal,179200,,
0528354060,9920,Pave,AllPub,NoRidge,1Fam,1996,PConc,1117,GasA,Y,2013,1,0,2,1,3,8,1,455,Y,0,NA,Normal,269790,,
0909276010,11435,Pave,AllPub,Crawfor,1Fam,1929,PConc,792,GasA,Y,1517,0,0,1,0,3,7,2,400,Y,0,NA,Normal,230000,,
0528228430,3072,Pave,AllPub,Blmngtn,TwnhsE,2004,PConc,1365,GasA,Y,1548,1,0,2,0,2,7,1,388,Y,0,NA,Normal,225000,,
0528490070,8127,Pave,AllPub,Somerst,1Fam,2003,PConc,812,GasA,Y,1653,1,0,2,1,3,6,0,628,Y,0,NA,Normal,209000,,
0528116030,16033,Pave,AllPub,NridgHt,1Fam,2004,PConc,1833,GasA,Y,1850,1,0,2,0,3,8,1,772,Y,0,NA,Normal,326000,,
0905325030,23595,Pave,AllPub,ClearCr,1Fam,1979,PConc,1332,GasA,Y,1524,2,0,0,1,0,4,1,586,Y,0,NA,Normal,260000,,
0905401060,53227,Pave,AllPub,ClearCr,1Fam,1954,CBlock,1364,GasA,Y,1663,1,0,1,0,2,6,2,529,Y,0,NA,Normal,256000,,
0906204180,12128,Pave,AllPub,SawyerW,1Fam,1989,CBlock,868,GasA,Y,2559,0,0,2,1,4,9,1,506,Y,0,NA,Abnorml,209000,,
0916455010,9303,Pave,AllPub,Timber,1Fam,1996,PConc,872,GasA,Y,1756,1,0,2,1,3,7,0,422,Y,0,NA,Normal,204000,,
0528315110,9200,Pave,AllPub,NoRidge,1Fam,1998,PConc,1470,GasA,Y,2630,1,0,2,1,4,8,1,696,Y,0,NA,Normal,315000,,
0907270040,16226,Pave,AllPub,CollgCr,1Fam,1998,PConc,1028,GasA,Y,2452,0,0,2,1,4,9,1,683,Y,0,NA,Normal,267000,,
0923229100,15957,Pave,AllPub,Mitchel,1Fam,1977,PConc,1244,GasA,Y,1356,2,0,2,0,3,6,1,528,Y,0,NA,Normal,188000,,
0908188110,2522,Pave,AllPub,Edwards,Twnhs,2004,PConc,970,GasA,Y,1709,0,0,2,0,3,7,0,380,Y,0,NA,Normal,134000,,
0527451650,1680,Pave,AllPub,BrDale,Twnhs,1972,CBlock,630,GasA,Y,1302,0,0,2,1,3,6,0,264,Y,0,NA,Normal,119500,,
0914452060,8385,Pave,AllPub,Mitchel,Duplex,1978,CBlock,1664,GasA,Y,1664,0,0,2,0,4,10,0,616,Y,0,NA,Normal,145000,,
0902330040,17671,Pave,AllPub,OldTown,1Fam,1882,BrkTil,916,GasA,Y,1742,0,0,1,1,4,8,1,424,P,0,NA,Normal,168000,,
0535451110,7200,Pave,AllPub,NAmes,1Fam,1950,CBlock,864,GasA,Y,864,1,0,1,0,3,5,0,720,Y,0,NA,Normal,129000,,
0903231130,6120,Pave,AllPub,BrkSide,1Fam,1931,BrkTil,715,GasA,Y,875,1,0,1,0,2,5,0,180,Y,0,NA,Normal,105000,,
0527450250,1680,Pave,AllPub,BrDale,Twnhs,1973,CBlock,483,GasA,Y,987,1,0,1,1,2,5,0,264,Y,0,NA,Normal,100000,,
0527452060,4928,Pave,AllPub,NPkVill,TwnhsE,1976,CBlock,958,GasA,Y,958,0,0,2,0,2,5,0,440,Y,0,NA,Normal,143750,,
0911370500,3843,Pave,AllPub,Crawfor,TwnhsE,2007,PConc,1596,GasA,Y,1648,1,1,2,0,2,5,1,482,Y,0,NA,Partial,230000,,
0533208040,4274,Pave,AllPub,Somerst,TwnhsE,2006,PConc,1241,GasA,Y,1241,1,0,1,1,1,4,0,569,Y,0,NA,Partial,199900,,
0914478020,8750,Pave,AllPub,Mitchel,1Fam,1975,CBlock,852,GasA,Y,918,0,1,1,0,3,4,0,360,Y,0,NA,Normal,148000,,
0528429070,13253,Pave,AllPub,Somerst,1Fam,2006,PConc,1578,GasA,Y,1578,1,0,2,0,3,7,1,642,Y,0,NA,Normal,240000,,
0908152060,6285,Pave,AllPub,Edwards,1Fam,1976,CBlock,960,GasA,Y,1044,1,0,1,0,3,7,1,528,Y,0,NA,Normal,133500,,
0528114050,14977,Pave,AllPub,NridgHt,1Fam,2006,PConc,1976,GasA,Y,1976,1,0,2,0,2,7,1,908,Y,0,NA,Partial,440000,,
0533252020,11250,Pave,AllPub,Veenker,1Fam,1977,CBlock,1208,GasA,Y,1208,1,0,1,1,3,6,1,546,Y,0,NA,Normal,165000,,
0533236070,2645,Pave,AllPub,Somerst,Twnhs,1999,PConc,960,GasA,Y,1607,1,0,2,1,3,7,0,480,Y,0,NA,Normal,200000,,
0923400110,10429,Pave,AllPub,Mitchel,1Fam,1992,PConc,624,GasA,Y,1287,0,0,1,1,3,6,0,440,Y,0,NA,Normal,130000,,
0902305110,9600,Pave,AllPub,OldTown,1Fam,1900,BrkTil,930,GasW,N,1566,0,0,2,0,3,7,0,288,Y,0,NA,Abnorml,150000,,
0528445010,10936,Pave,AllPub,Somerst,1Fam,2006,PConc,1504,GasA,Y,1504,0,0,2,0,3,7,0,510,Y,0,NA,Partial,199000,,
0528477030,11216,Pave,AllPub,Somerst,1Fam,2006,PConc,1489,GasA,Y,1489,0,0,2,0,3,7,1,776,Y,0,NA,Partial,232600,,
0911175360,11040,Pave,AllPub,IDOTRR,1Fam,1920,CBlock,637,GasA,Y,1336,0,0,1,1,3,7,0,570,Y,0,NA,Normal,108000,,
0528280130,10261,Pave,AllPub,Gilbert,1Fam,2000,PConc,936,GasA,Y,1792,1,0,2,1,3,8,1,451,Y,0,NA,Normal,186500,,
0528181060,4590,Pave,AllPub,NridgHt,Twnhs,2006,PConc,1554,GasA,Y,1554,0,0,2,0,2,6,1,627,Y,0,NA,Normal,209500,,
0923229040,9129,Pave,AllPub,Mitchel,1Fam,1977,PConc,923,GasA,Y,1008,1,0,1,0,1,4,1,678,Y,0,NA,Normal,153500,,
0905478140,9280,Pave,AllPub,Edwards,1Fam,1951,CBlock,1342,GasA,Y,1342,1,0,1,0,4,7,0,256,Y,0,NA,Normal,125000,,
0527452310,7838,Pave,AllPub,NAmes,1Fam,1967,CBlock,864,GasA,Y,900,1,0,1,0,3,6,1,288,Y,0,NA,Normal,123000,,
0923202105,10114,Pave,AllPub,Mitchel,1Fam,2004,PConc,1430,GasA,Y,1430,0,0,2,0,3,7,0,624,Y,0,NA,Normal,173500,,
0534475160,10858,Pave,AllPub,NAmes,1Fam,1952,CBlock,1444,GasA,Y,1624,1,0,1,0,2,6,1,240,Y,0,NA,Partial,146500,,
0907420060,8333,Pave,AllPub,CollgCr,1Fam,2006,PConc,738,GasA,Y,1491,0,0,2,1,3,7,1,484,Y,0,NA,Normal,168675,,
0908102110,8842,Pave,AllPub,Edwards,1Fam,1954,CBlock,381,GasA,Y,992,0,0,1,0,3,6,0,319,Y,0,NA,Abnorml,155891,,
0906394010,10984,Pave,AllPub,CollgCr,1Fam,2005,PConc,945,GasA,Y,1809,0,0,2,1,3,8,0,638,Y,0,NA,Partial,209700,,
0909252020,7200,Pave,AllPub,SWISU,1Fam,1936,PConc,560,GasA,Y,1135,1,0,1,0,3,6,0,576,Y,0,NA,Normal,155000,,
0528164040,11846,Pave,AllPub,NridgHt,1Fam,2003,PConc,1792,GasA,Y,1792,1,0,2,0,2,6,1,874,Y,0,NA,Normal,374000,,
0535402140,10090,Pave,AllPub,NAmes,1Fam,1963,CBlock,725,GasA,Y,1651,0,1,2,0,4,6,2,276,Y,0,NA,Normal,172000,,
0909275040,9650,Pave,AllPub,Crawfor,1Fam,1923,BrkTil,784,GasA,Y,1603,0,0,1,0,4,7,1,599,Y,0,NA,Normal,138000,,
0923275080,7937,Pave,AllPub,Mitchel,1Fam,1984,CBlock,1003,GasA,Y,1003,1,0,1,0,3,6,0,588,Y,0,NA,Normal,142500,,
0906204280,9771,Pave,AllPub,SawyerW,1Fam,1995,PConc,1077,GasA,Y,2814,0,1,2,1,4,9,1,614,Y,0,NA,Normal,260000,,
0527182170,5062,Pave,AllPub,StoneBr,TwnhsE,1984,CBlock,1190,GasA,Y,2090,1,0,2,0,3,6,1,577,Y,0,NA,Normal,207500,,
0534177230,8400,Pave,AllPub,NWAmes,1Fam,2001,PConc,810,GasA,Y,1665,1,0,2,1,3,6,0,528,Y,0,NA,Normal,227000,,
0535105160,8500,Pave,AllPub,NAmes,1Fam,1961,CBlock,1235,GasA,Y,1235,0,0,1,0,2,6,0,480,Y,0,NA,Abnorml,98600,,
0909250160,10594,Pave,AllPub,Crawfor,1Fam,1926,BrkTil,768,Grav,N,789,0,0,1,0,2,5,0,200,Y,0,NA,Normal,96500,,
0528120150,9591,Pave,AllPub,NridgHt,1Fam,2004,PConc,1143,GasA,Y,2473,0,0,2,1,4,9,1,852,Y,0,NA,Normal,317000,,
0528186160,6240,Pave,AllPub,NridgHt,TwnhsE,2006,PConc,1342,GasA,Y,1342,1,0,2,0,2,6,1,550,Y,0,NA,Normal,234250,,
0923251080,26142,Pave,AllPub,Mitchel,1Fam,1962,CBlock,1188,GasA,Y,1188,0,0,1,0,3,6,0,312,P,0,NA,Normal,157900,,
0528290170,9487,Pave,AllPub,Gilbert,1Fam,2000,PConc,915,GasA,Y,1690,1,0,2,1,3,7,1,442,Y,0,NA,Normal,187000,,
0903454090,9000,Pave,AllPub,IDOTRR,1Fam,1937,PConc,780,GasA,Y,1375,0,0,1,1,3,6,1,544,P,0,NA,Normal,141000,,
0909176080,10896,Pave,AllPub,SWISU,2fmCon,1914,CBlock,1440,GasA,Y,3395,0,0,2,0,8,14,0,0,N,0,NA,Abnorml,200000,,
0533236090,3951,Pave,AllPub,Somerst,TwnhsE,1998,PConc,970,GasA,Y,2393,1,0,2,1,2,7,1,846,Y,0,NA,Normal,345000,,
0903206070,7010,Pave,AllPub,BrkSide,1Fam,1935,BrkTil,1024,GasA,Y,1738,0,0,2,0,3,6,1,240,P,0,NA,Normal,153000,,
0909275160,13108,Pave,AllPub,Crawfor,1Fam,1951,CBlock,0,GasA,Y,1226,0,0,1,1,2,7,1,400,Y,0,NA,Normal,153500,,
0528108160,14154,Pave,AllPub,NridgHt,1Fam,2006,PConc,1063,GasA,Y,2172,0,0,2,1,3,9,1,947,Y,0,NA,Partial,280000,,
0909253080,9399,Pave,AllPub,Crawfor,1Fam,1919,BrkTil,818,GasA,Y,1636,0,0,1,1,4,7,1,288,N,0,NA,Abnorml,167000,,
0531363050,7500,Pave,AllPub,SawyerW,1Fam,2004,PConc,1158,GasA,Y,1158,0,0,1,1,3,5,0,0,Y,0,NA,Normal,143500,,
0905200160,9000,Pave,AllPub,Sawyer,1Fam,1959,CBlock,1006,GasA,Y,1006,0,0,1,0,3,5,0,0,Y,0,NA,Normal,80000,,
0909250200,4899,Pave,AllPub,SWISU,1Fam,1920,PConc,755,GasA,Y,1510,0,0,1,0,3,6,0,216,Y,0,NA,Normal,149000,,
0907280040,9375,Pave,AllPub,CollgCr,1Fam,1997,PConc,1040,GasA,Y,2098,0,0,2,1,4,9,1,621,Y,0,NA,Normal,240000,,
0535175050,12400,Pave,AllPub,NAmes,1Fam,1958,CBlock,1215,GasA,Y,1215,0,0,1,0,3,6,0,297,Y,0,NA,Normal,155000,,
0905200490,10246,Pave,AllPub,Sawyer,1Fam,1965,CBlock,648,GasA,Y,960,1,1,0,0,0,3,0,364,Y,0,NA,Normal,145000,,
0527302020,12090,Pave,AllPub,NWAmes,1Fam,1984,CBlock,585,GasA,Y,1868,0,0,3,1,3,7,1,477,Y,0,NA,Abnorml,178000,,
0535375010,5470,Pave,AllPub,OldTown,1Fam,1958,CBlock,792,GasA,Y,792,0,0,1,0,2,4,0,366,Y,0,NA,Normal,99900,,
0527450030,2205,Pave,AllPub,BrDale,Twnhs,1973,CBlock,525,GasA,Y,1092,0,0,1,1,3,6,0,264,Y,0,NA,Normal,113500,,
0531375070,13072,Pave,AllPub,SawyerW,1Fam,2005,PConc,1141,GasA,Y,1141,0,0,1,1,3,6,0,484,Y,0,NA,Abnorml,142500,,
0903430090,5310,Pave,AllPub,OldTown,1Fam,1910,CBlock,485,GasA,Y,1635,0,0,1,0,2,5,0,255,Y,0,NA,Normal,117000,,
0902100020,9836,Pave,AllPub,OldTown,1Fam,2008,PConc,192,GasA,N,1133,1,0,1,0,3,7,0,308,Y,0,NA,Abnorml,143000,,
0534403440,9350,Pave,AllPub,NAmes,1Fam,1964,CBlock,720,GasA,Y,1440,0,0,1,1,4,7,1,480,Y,0,NA,Normal,157500,,
0528106050,13641,Pave,AllPub,NridgHt,1Fam,2007,PConc,1934,GasA,Y,2656,1,0,2,1,3,8,1,1040,Y,0,NA,Partial,492000,,
0907414020,8487,Pave,AllPub,CollgCr,1Fam,2004,PConc,1500,GasA,Y,1500,0,0,2,0,3,6,0,570,Y,0,NA,Normal,190000,,
0532476050,14330,Pave,AllPub,Veenker,1Fam,1974,CBlock,1748,GasA,Y,2646,1,2,2,0,3,9,4,550,Y,800,Gd,Normal,260000,,
0526351100,10200,Pave,AllPub,NAmes,1Fam,1974,CBlock,1434,GasA,Y,1434,1,0,2,0,4,7,1,528,Y,0,NA,Normal,157000,,
